Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20100101:0010,0.0,0.0,0.0,0.0,1.06,3.79,0.0
20100101:0110,0.0,0.0,0.0,0.0,0.86,4.07,0.0
20100101:0210,0.0,0.0,0.0,0.0,0.65,4.0,0.0
20100101:0310,0.0,0.0,0.0,0.0,0.5,4.0,0.0
20100101:0410,0.0,0.0,0.0,0.0,0.33,4.14,0.0
20100101:0510,0.0,0.0,0.0,0.0,0.2,4.28,0.0
20100101:0610,0.0,0.0,0.0,0.0,0.04,4.28,0.0
20100101:0710,0.0,0.0,0.0,0.0,-0.24,4.34,0.0
20100101:0810,2.0,12.62,0.0,2.75,-0.38,4.21,0.0
20100101:0910,1.0,53.0,0.0,9.59,-0.38,4.55,0.0
20100101:1010,11.0,107.0,0.0,14.71,-0.29,4.62,0.0
20100101:1110,0.0,50.0,0.0,17.7,-0.01,4.41,0.0
20100101:1210,0.0,51.0,0.0,18.27,0.22,4.34,0.0
20100101:1310,0.0,61.0,0.0,16.35,0.48,4.48,0.0
20100101:1410,0.0,43.0,0.0,12.14,0.69,4.55,0.0
20100101:1510,2.0,34.0,0.0,6.02,0.84,4.48,0.0
20100101:1610,0.0,0.0,0.0,0.0,0.82,3.79,0.0
20100101:1710,0.0,0.0,0.0,0.0,0.45,3.24,0.0
20100101:1810,0.0,0.0,0.0,0.0,0.2,3.03,0.0
20100101:1910,0.0,0.0,0.0,0.0,-0.88,2.69,0.0
20100101:2010,0.0,0.0,0.0,0.0,-1.66,2.55,0.0
20100101:2110,0.0,0.0,0.0,0.0,-2.26,2.41,0.0
20100101:2210,0.0,0.0,0.0,0.0,-2.71,2.28,0.0
20100101:2310,0.0,0.0,0.0,0.0,-3.05,2.28,0.0
20100102:0010,0.0,0.0,0.0,0.0,-3.25,2.28,0.0
20100102:0110,0.0,0.0,0.0,0.0,-3.33,2.28,0.0
20100102:0210,0.0,0.0,0.0,0.0,-3.39,2.21,0.0
20100102:0310,0.0,0.0,0.0,0.0,-3.49,2.14,0.0
20100102:0410,0.0,0.0,0.0,0.0,-3.66,2.07,0.0
20100102:0510,0.0,0.0,0.0,0.0,-3.85,2.0,0.0
20100102:0610,0.0,0.0,0.0,0.0,-3.99,2.07,0.0
20100102:0710,0.0,0.0,0.0,0.0,-4.05,2.28,0.0
20100102:0810,15.0,10.13,0.0,2.76,-3.92,2.28,0.0
20100102:0910,83.01,52.0,0.0,9.62,-2.69,2.07,0.0
20100102:1010,167.01,67.0,0.0,14.77,-0.55,2.41,0.0
20100102:1110,95.01,136.0,0.0,17.77,1.17,2.9,0.0
20100102:1210,32.0,149.0,0.0,18.36,2.35,3.45,0.0
20100102:1310,31.0,132.0,0.0,16.45,3.04,3.79,0.0
20100102:1410,12.0,90.0,0.0,12.26,3.25,3.79,0.0
20100102:1510,43.0,32.0,0.0,6.14,2.62,2.9,0.0
20100102:1610,0.0,0.0,0.0,0.0,1.42,2.69,0.0
20100102:1710,0.0,0.0,0.0,0.0,0.34,2.69,0.0
20100102:1810,0.0,0.0,0.0,0.0,-0.15,2.62,0.0
20100102:1910,0.0,0.0,0.0,0.0,-0.57,2.28,0.0
20100102:2010,0.0,0.0,0.0,0.0,-0.5,2.21,0.0
20100102:2110,0.0,0.0,0.0,0.0,-0.89,2.21,0.0
20100102:2210,0.0,0.0,0.0,0.0,-0.89,2.28,0.0
20100102:2310,0.0,0.0,0.0,0.0,-1.43,2.28,0.0
20100103:0010,0.0,0.0,0.0,0.0,-1.68,2.28,0.0
20100103:0110,0.0,0.0,0.0,0.0,-1.64,2.14,0.0
20100103:0210,0.0,0.0,0.0,0.0,-1.53,2.07,0.0
20100103:0310,0.0,0.0,0.0,0.0,-1.46,1.86,0.0
20100103:0410,0.0,0.0,0.0,0.0,-1.58,1.66,0.0
20100103:0510,0.0,0.0,0.0,0.0,-1.69,1.52,0.0
20100103:0610,0.0,0.0,0.0,0.0,-1.83,1.52,0.0
20100103:0710,0.0,0.0,0.0,0.0,-2.5,1.79,0.0
20100103:0810,16.0,9.2,0.0,2.78,-3.17,1.59,0.0
20100103:0910,94.01,47.0,0.0,9.66,-1.62,0.48,0.0
20100103:1010,177.01,63.0,0.0,14.82,-0.12,0.0,0.0
20100103:1110,227.01,71.0,0.0,17.85,1.46,0.21,0.0
20100103:1210,243.01,69.0,0.0,18.46,2.49,0.28,0.0
20100103:1310,124.01,110.0,0.0,16.57,2.93,0.83,0.0
20100103:1410,115.01,66.0,0.0,12.38,2.97,2.0,0.0
20100103:1510,3.0,37.0,0.0,6.27,2.41,2.41,0.0
20100103:1610,0.0,0.0,0.0,0.0,1.44,2.41,0.0
20100103:1710,0.0,0.0,0.0,0.0,0.6,2.69,0.0
20100103:1810,0.0,0.0,0.0,0.0,0.21,2.97,0.0
20100103:1910,0.0,0.0,0.0,0.0,-0.58,3.45,0.0
20100103:2010,0.0,0.0,0.0,0.0,-1.54,3.31,0.0
20100103:2110,0.0,0.0,0.0,0.0,-2.06,3.38,0.0
20100103:2210,0.0,0.0,0.0,0.0,-2.6,3.38,0.0
20100103:2310,0.0,0.0,0.0,0.0,-3.03,3.45,0.0
20100104:0010,0.0,0.0,0.0,0.0,-3.6,3.45,0.0
20100104:0110,0.0,0.0,0.0,0.0,-4.23,3.24,0.0
20100104:0210,0.0,0.0,0.0,0.0,-4.62,3.1,0.0
20100104:0310,0.0,0.0,0.0,0.0,-4.92,3.03,0.0
20100104:0410,0.0,0.0,0.0,0.0,-5.14,3.03,0.0
20100104:0510,0.0,0.0,0.0,0.0,-5.26,3.03,0.0
20100104:0610,0.0,0.0,0.0,0.0,-5.48,3.17,0.0
20100104:0710,0.0,0.0,0.0,0.0,-5.45,2.83,0.0
20100104:0810,15.0,10.19,0.0,2.81,-5.75,2.69,0.0
20100104:0910,91.01,50.0,0.0,9.71,-5.21,2.9,0.0
20100104:1010,162.01,73.0,0.0,14.89,-4.28,3.03,0.0
20100104:1110,219.01,78.0,0.0,17.94,-3.29,3.03,0.0
20100104:1210,241.01,73.0,0.0,18.56,-2.34,3.17,0.0
20100104:1310,231.01,57.0,0.0,16.69,-1.69,3.38,0.0
20100104:1410,156.01,48.0,0.0,12.51,-1.44,3.45,0.0
20100104:1510,56.01,30.0,0.0,6.41,-1.78,3.03,0.0
20100104:1610,0.0,0.0,0.0,0.0,-2.96,2.62,0.0
20100104:1710,0.0,0.0,0.0,0.0,-3.98,2.48,0.0
20100104:1810,0.0,0.0,0.0,0.0,-4.48,2.41,0.0
20100104:1910,0.0,0.0,0.0,0.0,-4.69,2.14,0.0
20100104:2010,0.0,0.0,0.0,0.0,-4.89,2.07,0.0
20100104:2110,0.0,0.0,0.0,0.0,-5.1,1.93,0.0
20100104:2210,0.0,0.0,0.0,0.0,-5.22,1.79,0.0
20100104:2310,0.0,0.0,0.0,0.0,-5.24,1.72,0.0
20100105:0010,0.0,0.0,0.0,0.0,-4.99,1.59,0.0
20100105:0110,0.0,0.0,0.0,0.0,-4.4,1.31,0.0
20100105:0210,0.0,0.0,0.0,0.0,-4.41,1.45,0.0
20100105:0310,0.0,0.0,0.0,0.0,-4.23,1.45,0.0
20100105:0410,0.0,0.0,0.0,0.0,-4.64,1.59,0.0
20100105:0510,0.0,0.0,0.0,0.0,-4.8,1.79,0.0
20100105:0610,0.0,0.0,0.0,0.0,-4.98,1.79,0.0
20100105:0710,0.0,0.0,0.0,0.0,-4.09,1.31,0.0
20100105:0810,7.0,14.4,0.0,2.85,-4.19,1.38,0.0
20100105:0910,67.01,62.0,0.0,9.76,-3.49,1.45,0.0
20100105:1010,138.01,85.0,0.0,14.96,-2.71,1.79,0.0
20100105:1110,30.0,146.0,0.0,18.03,-1.76,1.93,0.0
20100105:1210,23.0,149.0,0.0,18.67,-0.88,2.0,0.0
20100105:1310,195.01,75.0,0.0,16.82,-0.43,2.14,0.0
20100105:1410,144.01,54.0,0.0,12.65,-0.05,2.41,0.0
20100105:1510,57.01,30.0,0.0,6.56,-0.39,2.14,0.0
20100105:1610,0.0,0.0,0.0,0.0,-1.42,2.07,0.0
20100105:1710,0.0,0.0,0.0,0.0,-1.92,1.93,0.0
20100105:1810,0.0,0.0,0.0,0.0,-2.14,1.79,0.0
20100105:1910,0.0,0.0,0.0,0.0,-2.98,1.1,0.0
20100105:2010,0.0,0.0,0.0,0.0,-2.92,0.48,0.0
