Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20170101:0010,0.0,0.0,0.0,0.0,-2.54,2.48,0.0
20170101:0110,0.0,0.0,0.0,0.0,-2.78,2.76,0.0
20170101:0210,0.0,0.0,0.0,0.0,-2.98,2.69,0.0
20170101:0310,0.0,0.0,0.0,0.0,-3.1,2.69,0.0
20170101:0410,0.0,0.0,0.0,0.0,-3.19,2.76,0.0
20170101:0510,0.0,0.0,0.0,0.0,-3.21,2.76,0.0
20170101:0610,0.0,0.0,0.0,0.0,-3.36,2.55,0.0
20170101:0710,0.0,0.0,0.0,0.0,-3.22,2.62,0.0
20170101:0810,0.0,7.0,0.0,2.75,-3.18,2.97,0.0
20170101:0910,1.0,54.0,0.0,9.59,-2.71,3.45,0.0
20170101:1010,0.0,48.0,0.0,14.71,-1.99,3.52,0.0
20170101:1110,0.0,54.0,0.0,17.7,-1.17,3.59,0.0
20170101:1210,0.0,62.0,0.0,18.27,-0.34,3.59,0.0
20170101:1310,0.0,67.0,0.0,16.35,0.25,3.45,0.0
20170101:1410,0.0,39.0,0.0,12.14,0.67,3.24,0.0
20170101:1510,0.0,20.0,0.0,6.02,0.6,2.62,0.0
20170101:1610,0.0,0.0,0.0,0.0,-0.05,2.55,0.0
20170101:1710,0.0,0.0,0.0,0.0,-0.5,2.83,0.0
20170101:1810,0.0,0.0,0.0,0.0,-0.53,2.9,0.0
20170101:1910,0.0,0.0,0.0,0.0,-0.34,2.97,0.0
20170101:2010,0.0,0.0,0.0,0.0,-0.34,2.76,0.0
20170101:2110,0.0,0.0,0.0,0.0,-0.26,2.48,0.0
20170101:2210,0.0,0.0,0.0,0.0,-0.14,2.28,0.0
20170101:2310,0.0,0.0,0.0,0.0,-0.12,2.14,0.0
20170102:0010,0.0,0.0,0.0,0.0,0.05,2.0,0.0
20170102:0110,0.0,0.0,0.0,0.0,0.26,1.93,0.0
20170102:0210,0.0,0.0,0.0,0.0,0.39,1.72,0.0
20170102:0310,0.0,0.0,0.0,0.0,0.5,1.52,0.0
20170102:0410,0.0,0.0,0.0,0.0,0.56,1.38,0.0
20170102:0510,0.0,0.0,0.0,0.0,0.62,1.45,0.0
20170102:0610,0.0,0.0,0.0,0.0,0.68,1.45,0.0
20170102:0710,0.0,0.0,0.0,0.0,0.76,1.24,0.0
20170102:0810,1.0,12.81,0.0,2.76,0.76,1.17,0.0
20170102:0910,8.0,65.0,0.0,9.62,0.88,0.83,0.0
20170102:1010,0.0,34.0,0.0,14.77,1.08,1.03,0.0
20170102:1110,0.0,41.0,0.0,17.77,1.21,1.59,0.0
20170102:1210,0.0,55.0,0.0,18.36,1.16,1.79,0.0
20170102:1310,0.0,52.0,0.0,16.45,1.25,2.21,0.0
20170102:1410,2.0,72.0,0.0,12.26,1.34,2.48,0.0
20170102:1510,8.0,40.0,0.0,6.14,1.6,2.55,0.0
20170102:1610,0.0,0.0,0.0,0.0,1.5,2.34,0.0
20170102:1710,0.0,0.0,0.0,0.0,0.93,2.34,0.0
20170102:1810,0.0,0.0,0.0,0.0,0.23,2.41,0.0
20170102:1910,0.0,0.0,0.0,0.0,1.2,2.48,0.0
20170102:2010,0.0,0.0,0.0,0.0,1.07,2.28,0.0
20170102:2110,0.0,0.0,0.0,0.0,0.96,1.93,0.0
20170102:2210,0.0,0.0,0.0,0.0,0.9,1.59,0.0
20170102:2310,0.0,0.0,0.0,0.0,0.71,1.31,0.0
20170103:0010,0.0,0.0,0.0,0.0,0.23,1.1,0.0
20170103:0110,0.0,0.0,0.0,0.0,-0.36,1.1,0.0
20170103:0210,0.0,0.0,0.0,0.0,-0.83,1.03,0.0
20170103:0310,0.0,0.0,0.0,0.0,-0.68,0.83,0.0
20170103:0410,0.0,0.0,0.0,0.0,-0.43,0.97,0.0
20170103:0510,0.0,0.0,0.0,0.0,0.03,0.9,0.0
20170103:0610,0.0,0.0,0.0,0.0,0.12,1.03,0.0
20170103:0710,0.0,0.0,0.0,0.0,-0.1,0.69,0.0
20170103:0810,0.0,9.0,0.0,2.78,-0.16,0.69,0.0
20170103:0910,1.0,55.0,0.0,9.66,-0.01,0.83,0.0
20170103:1010,0.0,64.0,0.0,14.82,0.17,1.17,0.0
20170103:1110,0.0,91.0,0.0,17.85,0.48,1.24,0.0
20170103:1210,0.0,75.0,0.0,18.46,0.77,1.45,0.0
20170103:1310,0.0,65.0,0.0,16.57,1.12,1.72,0.0
20170103:1410,0.0,38.0,0.0,12.38,1.5,2.0,0.0
20170103:1510,1.0,32.0,0.0,6.27,1.59,2.21,0.0
20170103:1610,0.0,0.0,0.0,0.0,1.42,1.86,0.0
20170103:1710,0.0,0.0,0.0,0.0,0.96,2.0,0.0
20170103:1810,0.0,0.0,0.0,0.0,0.43,2.34,0.0
20170103:1910,0.0,0.0,0.0,0.0,-0.04,2.48,0.0
20170103:2010,0.0,0.0,0.0,0.0,-0.47,2.83,0.0
20170103:2110,0.0,0.0,0.0,0.0,-0.7,3.1,0.0
20170103:2210,0.0,0.0,0.0,0.0,-0.9,3.24,0.0
20170103:2310,0.0,0.0,0.0,0.0,-0.91,3.45,0.0
20170104:0010,0.0,0.0,0.0,0.0,-0.91,3.59,0.0
20170104:0110,0.0,0.0,0.0,0.0,-0.75,3.66,0.0
20170104:0210,0.0,0.0,0.0,0.0,-0.38,3.72,0.0
20170104:0310,0.0,0.0,0.0,0.0,-0.13,3.86,0.0
20170104:0410,0.0,0.0,0.0,0.0,0.31,3.86,0.0
20170104:0510,0.0,0.0,0.0,0.0,0.71,3.86,0.0
20170104:0610,0.0,0.0,0.0,0.0,1.25,3.86,0.0
20170104:0710,0.0,0.0,0.0,0.0,1.33,3.79,0.0
20170104:0810,0.0,8.0,0.0,2.81,1.66,3.79,0.0
20170104:0910,2.0,58.0,0.0,9.71,2.31,3.86,0.0
20170104:1010,3.0,93.0,0.0,14.89,3.25,3.66,0.0
20170104:1110,15.0,135.0,0.0,17.94,4.03,3.66,0.0
20170104:1210,0.0,99.0,0.0,18.56,4.61,4.07,0.0
20170104:1310,4.0,108.0,0.0,16.69,5.03,4.0,0.0
20170104:1410,0.0,50.0,0.0,12.51,5.39,4.0,0.0
20170104:1510,2.0,34.0,0.0,6.41,5.42,3.79,0.0
20170104:1610,0.0,0.0,0.0,0.0,5.38,3.59,0.0
20170104:1710,0.0,0.0,0.0,0.0,5.29,3.59,0.0
20170104:1810,0.0,0.0,0.0,0.0,4.95,3.31,0.0
20170104:1910,0.0,0.0,0.0,0.0,3.96,3.24,0.0
20170104:2010,0.0,0.0,0.0,0.0,3.11,3.1,0.0
20170104:2110,0.0,0.0,0.0,0.0,2.11,2.9,0.0
20170104:2210,0.0,0.0,0.0,0.0,1.07,2.9,0.0
20170104:2310,0.0,0.0,0.0,0.0,0.38,2.9,0.0
