Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,7.82,7.72,0.0
20180101:0110,0.0,0.0,0.0,0.0,7.54,7.52,0.0
20180101:0210,0.0,0.0,0.0,0.0,7.4,7.1,0.0
20180101:0310,0.0,0.0,0.0,0.0,7.25,6.83,0.0
20180101:0410,0.0,0.0,0.0,0.0,7.03,6.55,0.0
20180101:0510,0.0,0.0,0.0,0.0,6.89,6.34,0.0
20180101:0610,0.0,0.0,0.0,0.0,6.84,6.14,0.0
20180101:0710,0.0,0.0,0.0,0.0,6.72,6.14,0.0
20180101:0810,0.0,6.0,0.0,2.75,6.89,6.21,0.0
20180101:0910,0.0,14.0,0.0,9.59,7.25,6.69,0.0
20180101:1010,0.0,23.0,0.0,14.71,7.04,7.72,0.0
20180101:1110,2.0,106.0,0.0,17.7,7.1,8.76,0.0
20180101:1210,0.0,91.0,0.0,18.27,7.77,7.93,0.0
20180101:1310,103.01,114.0,0.0,16.35,8.65,7.52,0.0
20180101:1410,2.0,73.0,0.0,12.14,9.0,8.14,0.0
20180101:1510,27.0,37.0,0.0,6.02,8.14,8.41,0.0
20180101:1610,0.0,0.0,0.0,0.0,7.32,9.66,0.0
20180101:1710,0.0,0.0,0.0,0.0,7.01,9.59,0.0
20180101:1810,0.0,0.0,0.0,0.0,7.1,8.28,0.0
20180101:1910,0.0,0.0,0.0,0.0,7.36,7.38,0.0
20180101:2010,0.0,0.0,0.0,0.0,7.01,6.83,0.0
20180101:2110,0.0,0.0,0.0,0.0,7.06,6.55,0.0
20180101:2210,0.0,0.0,0.0,0.0,7.26,6.34,0.0
20180101:2310,0.0,0.0,0.0,0.0,7.52,6.28,0.0
20180102:0010,0.0,0.0,0.0,0.0,7.44,6.21,0.0
20180102:0110,0.0,0.0,0.0,0.0,7.18,5.93,0.0
20180102:0210,0.0,0.0,0.0,0.0,6.87,5.45,0.0
20180102:0310,0.0,0.0,0.0,0.0,6.66,5.31,0.0
20180102:0410,0.0,0.0,0.0,0.0,6.4,4.97,0.0
20180102:0510,0.0,0.0,0.0,0.0,5.94,4.28,0.0
20180102:0610,0.0,0.0,0.0,0.0,5.89,3.72,0.0
20180102:0710,0.0,0.0,0.0,0.0,4.87,3.45,0.0
20180102:0810,0.0,6.0,0.0,2.76,5.09,3.66,0.0
20180102:0910,2.0,57.0,0.0,9.62,5.59,3.38,0.0
20180102:1010,5.0,96.0,0.0,14.77,6.11,3.24,0.0
20180102:1110,81.0,136.0,0.0,17.77,7.27,4.14,0.0
20180102:1210,18.0,139.0,0.0,18.36,8.05,4.28,0.0
20180102:1310,3.0,102.0,0.0,16.45,8.44,4.14,0.0
20180102:1410,0.0,45.0,0.0,12.26,8.57,4.97,0.0
20180102:1510,2.0,34.0,0.0,6.14,8.54,5.45,0.0
20180102:1610,0.0,0.0,0.0,0.0,8.51,5.38,0.0
20180102:1710,0.0,0.0,0.0,0.0,8.99,5.03,0.0
20180102:1810,0.0,0.0,0.0,0.0,9.92,4.9,0.0
20180102:1910,0.0,0.0,0.0,0.0,10.46,5.59,0.0
20180102:2010,0.0,0.0,0.0,0.0,11.2,5.93,0.0
20180102:2110,0.0,0.0,0.0,0.0,11.67,6.83,0.0
20180102:2210,0.0,0.0,0.0,0.0,11.65,7.45,0.0
20180102:2310,0.0,0.0,0.0,0.0,11.17,7.86,0.0
20180103:0010,0.0,0.0,0.0,0.0,11.09,8.41,0.0
20180103:0110,0.0,0.0,0.0,0.0,11.56,9.03,0.0
20180103:0210,0.0,0.0,0.0,0.0,12.3,9.59,0.0
20180103:0310,0.0,0.0,0.0,0.0,12.86,10.14,0.0
20180103:0410,0.0,0.0,0.0,0.0,13.09,10.69,0.0
20180103:0510,0.0,0.0,0.0,0.0,11.5,9.79,0.0
20180103:0610,0.0,0.0,0.0,0.0,10.0,9.17,0.0
20180103:0710,0.0,0.0,0.0,0.0,9.36,9.45,0.0
20180103:0810,11.0,11.76,0.0,2.78,8.34,9.24,0.0
20180103:0910,83.01,49.0,0.0,9.66,8.23,9.31,0.0
20180103:1010,135.01,80.0,0.0,14.82,8.08,9.66,0.0
20180103:1110,41.0,142.0,0.0,17.85,8.48,8.34,0.0
20180103:1210,0.0,26.0,0.0,18.46,9.06,9.17,0.0
20180103:1310,183.01,72.0,0.0,16.57,9.56,9.52,0.0
20180103:1410,73.0,82.0,0.0,12.38,9.75,8.07,0.0
20180103:1510,24.0,39.0,0.0,6.27,9.45,8.21,0.0
20180103:1610,0.0,0.0,0.0,0.0,9.01,7.38,0.0
20180103:1710,0.0,0.0,0.0,0.0,8.73,6.9,0.0
20180103:1810,0.0,0.0,0.0,0.0,8.43,6.69,0.0
20180103:1910,0.0,0.0,0.0,0.0,8.54,5.86,0.0
20180103:2010,0.0,0.0,0.0,0.0,8.54,5.79,0.0
20180103:2110,0.0,0.0,0.0,0.0,8.5,5.45,0.0
20180103:2210,0.0,0.0,0.0,0.0,8.22,4.9,0.0
20180103:2310,0.0,0.0,0.0,0.0,8.4,4.41,0.0
20180104:0010,0.0,0.0,0.0,0.0,8.7,3.86,0.0
20180104:0110,0.0,0.0,0.0,0.0,8.88,3.17,0.0
20180104:0210,0.0,0.0,0.0,0.0,9.07,2.83,0.0
20180104:0310,0.0,0.0,0.0,0.0,9.36,2.97,0.0
20180104:0410,0.0,0.0,0.0,0.0,9.97,3.38,0.0
20180104:0510,0.0,0.0,0.0,0.0,11.28,4.76,0.0
20180104:0610,0.0,0.0,0.0,0.0,12.3,5.79,0.0
20180104:0710,0.0,0.0,0.0,0.0,12.9,8.0,0.0
20180104:0810,0.0,3.0,0.0,2.81,12.81,8.41,0.0
20180104:0910,0.0,26.0,0.0,9.71,12.67,8.9,0.0
20180104:1010,0.0,33.0,0.0,14.89,12.69,8.97,0.0
20180104:1110,0.0,68.0,0.0,17.94,12.72,8.62,0.0
20180104:1210,0.0,58.0,0.0,18.56,12.94,8.55,0.0
20180104:1310,0.0,60.0,0.0,16.69,12.95,8.34,0.0
20180104:1410,1.0,68.0,0.0,12.51,12.7,8.21,0.0
20180104:1510,0.0,23.0,0.0,6.41,12.64,8.21,0.0
20180104:1610,0.0,0.0,0.0,0.0,12.39,7.86,0.0
20180104:1710,0.0,0.0,0.0,0.0,11.92,7.17,0.0
20180104:1810,0.0,0.0,0.0,0.0,11.34,6.69,0.0
20180104:1910,0.0,0.0,0.0,0.0,10.35,6.48,0.0
20180104:2010,0.0,0.0,0.0,0.0,9.68,5.86,0.0
20180104:2110,0.0,0.0,0.0,0.0,8.99,5.52,0.0
20180104:2210,0.0,0.0,0.0,0.0,8.74,5.24,0.0
20180104:2310,0.0,0.0,0.0,0.0,8.54,5.38,0.0
20180105:0010,0.0,0.0,0.0,0.0,8.64,5.66,0.0
20180105:0110,0.0,0.0,0.0,0.0,9.04,6.07,0.0
20180105:0210,0.0,0.0,0.0,0.0,9.35,6.28,0.0
20180105:0310,0.0,0.0,0.0,0.0,9.61,6.07,0.0
20180105:0410,0.0,0.0,0.0,0.0,9.81,5.66,0.0
20180105:0510,0.0,0.0,0.0,0.0,9.78,5.1,0.0
20180105:0610,0.0,0.0,0.0,0.0,9.45,4.76,0.0
20180105:0710,0.0,0.0,0.0,0.0,9.99,3.93,0.0
20180105:0810,5.0,13.93,0.0,2.85,9.63,3.59,0.0
20180105:0910,0.0,45.0,0.0,9.76,9.49,3.79,0.0
20180105:1010,0.0,74.0,0.0,14.96,9.33,4.07,0.0
20180105:1110,0.0,58.0,0.0,18.03,9.59,4.48,0.0
20180105:1210,2.0,111.0,0.0,18.67,10.3,4.41,0.0
20180105:1310,6.0,111.0,0.0,16.82,10.71,5.86,0.0
20180105:1410,4.0,79.0,0.0,12.65,10.68,6.28,0.0
20180105:1510,2.0,35.0,0.0,6.56,10.1,5.52,0.0
20180105:1610,0.0,0.0,0.0,0.0,9.3,4.07,0.0
20180105:1710,0.0,0.0,0.0,0.0,8.61,3.31,0.0
20180105:1810,0.0,0.0,0.0,0.0,7.74,2.97,0.0
20180105:1910,0.0,0.0,0.0,0.0,7.79,2.62,0.0
20180105:2010,0.0,0.0,0.0,0.0,7.24,2.48,0.0
20180105:2110,0.0,0.0,0.0,0.0,6.95,2.55,0.0
20180105:2210,0.0,0.0,0.0,0.0,6.84,2.76,0.0
20180105:2310,0.0,0.0,0.0,0.0,6.53,2.76,0.0
20180106:0010,0.0,0.0,0.0,0.0,6.47,2.69,0.0
20180106:0110,0.0,0.0,0.0,0.0,6.24,2.69,0.0
20180106:0210,0.0,0.0,0.0,0.0,6.3,2.62,0.0
20180106:0310,0.0,0.0,0.0,0.0,6.04,2.41,0.0
20180106:0410,0.0,0.0,0.0,0.0,5.91,2.14,0.0
20180106:0510,0.0,0.0,0.0,0.0,5.73,1.79,0.0
20180106:0610,0.0,0.0,0.0,0.0,5.59,1.66,0.0
20180106:0710,0.0,0.0,0.0,0.0,5.07,1.72,0.0
20180106:0810,6.0,13.74,0.0,2.89,4.89,1.59,0.0
20180106:0910,9.0,67.0,0.0,9.82,5.32,1.1,0.0
20180106:1010,22.0,116.0,0.0,15.04,6.46,1.24,0.0
20180106:1110,11.0,130.0,0.0,18.13,7.11,0.76,0.0
20180106:1210,2.0,114.0,0.0,18.79,7.66,1.03,0.0
20180106:1310,3.0,103.0,0.0,16.95,7.9,1.52,0.0
20180106:1410,0.0,49.0,0.0,12.8,7.9,1.72,0.0
20180106:1510,13.0,44.0,0.0,6.7,7.73,1.79,0.0
20180106:1610,0.0,0.0,0.0,0.0,7.26,2.0,0.0
20180106:1710,0.0,0.0,0.0,0.0,6.88,2.07,0.0
20180106:1810,0.0,0.0,0.0,0.0,6.68,2.0,0.0
20180106:1910,0.0,0.0,0.0,0.0,6.6,2.9,0.0
20180106:2010,0.0,0.0,0.0,0.0,6.5,3.17,0.0
20180106:2110,0.0,0.0,0.0,0.0,6.36,3.31,0.0
20180106:2210,0.0,0.0,0.0,0.0,6.2,3.38,0.0
20180106:2310,0.0,0.0,0.0,0.0,5.66,3.66,0.0
20180107:0010,0.0,0.0,0.0,0.0,5.57,4.41,0.0
20180107:0110,0.0,0.0,0.0,0.0,5.45,4.83,0.0
20180107:0210,0.0,0.0,0.0,0.0,5.58,5.24,0.0
20180107:0310,0.0,0.0,0.0,0.0,5.74,5.45,0.0
20180107:0410,0.0,0.0,0.0,0.0,5.84,5.52,0.0
20180107:0510,0.0,0.0,0.0,0.0,5.68,5.79,0.0
20180107:0610,0.0,0.0,0.0,0.0,5.51,5.93,0.0
20180107:0710,0.0,0.0,0.0,0.0,5.89,5.72,0.0
20180107:0810,0.0,11.0,0.0,2.94,5.9,5.93,0.0
20180107:0910,0.0,15.0,0.0,9.89,5.99,6.07,0.0
20180107:1010,0.0,68.0,0.0,15.13,6.25,6.07,0.0
20180107:1110,32.0,144.0,0.0,18.24,6.79,7.59,0.0
20180107:1210,0.0,84.0,0.0,18.92,7.02,7.31,0.0
20180107:1310,0.0,63.0,0.0,17.09,7.3,7.24,0.0
20180107:1410,0.0,40.0,0.0,12.95,7.51,6.62,0.0
20180107:1510,0.0,26.0,0.0,6.86,7.58,5.93,0.0
20180107:1610,0.0,0.0,0.0,0.0,7.21,5.52,0.0
20180107:1710,0.0,0.0,0.0,0.0,6.64,5.38,0.0
20180107:1810,0.0,0.0,0.0,0.0,6.17,5.17,0.0
20180107:1910,0.0,0.0,0.0,0.0,6.33,4.83,0.0
20180107:2010,0.0,0.0,0.0,0.0,6.12,4.55,0.0
20180107:2110,0.0,0.0,0.0,0.0,5.84,4.48,0.0
20180107:2210,0.0,0.0,0.0,0.0,5.64,4.48,0.0
20180107:2310,0.0,0.0,0.0,0.0,5.34,4.41,0.0
20180108:0010,0.0,0.0,0.0,0.0,4.94,4.41,0.0
20180108:0110,0.0,0.0,0.0,0.0,4.69,4.48,0.0
20180108:0210,0.0,0.0,0.0,0.0,4.43,4.48,0.0
20180108:0310,0.0,0.0,0.0,0.0,4.22,4.34,0.0
20180108:0410,0.0,0.0,0.0,0.0,3.99,4.21,0.0
20180108:0510,0.0,0.0,0.0,0.0,3.54,3.93,0.0
20180108:0610,0.0,0.0,0.0,0.0,3.29,3.93,0.0
20180108:0710,0.0,0.0,0.0,0.0,3.38,3.52,0.0
20180108:0810,0.0,12.0,0.0,3.0,3.41,3.38,0.0
20180108:0910,70.01,59.0,0.0,9.96,3.82,3.17,0.0
20180108:1010,24.0,118.0,0.0,15.23,5.15,3.72,0.0
20180108:1110,128.01,123.0,0.0,18.36,6.4,3.38,0.0
20180108:1210,232.01,76.0,0.0,19.06,7.41,3.38,0.0
20180108:1310,210.01,68.0,0.0,17.24,7.99,3.86,0.0
20180108:1410,130.01,63.0,0.0,13.1,8.48,4.28,0.0
20180108:1510,51.01,36.0,0.0,7.02,8.18,3.72,0.0
20180108:1610,0.0,0.0,0.0,0.0,7.19,3.24,0.0
20180108:1710,0.0,0.0,0.0,0.0,6.22,2.97,0.0
20180108:1810,0.0,0.0,0.0,0.0,5.55,2.69,0.0
20180108:1910,0.0,0.0,0.0,0.0,5.27,2.69,0.0
20180108:2010,0.0,0.0,0.0,0.0,5.03,2.69,0.0
20180108:2110,0.0,0.0,0.0,0.0,4.84,2.41,0.0
20180108:2210,0.0,0.0,0.0,0.0,4.53,2.34,0.0
20180108:2310,0.0,0.0,0.0,0.0,4.13,2.07,0.0
20180109:0010,0.0,0.0,0.0,0.0,3.63,1.86,0.0
20180109:0110,0.0,0.0,0.0,0.0,3.23,1.45,0.0
20180109:0210,0.0,0.0,0.0,0.0,2.91,1.72,0.0
20180109:0310,0.0,0.0,0.0,0.0,2.81,1.59,0.0
20180109:0410,0.0,0.0,0.0,0.0,2.63,1.45,0.0
20180109:0510,0.0,0.0,0.0,0.0,2.83,0.76,0.0
20180109:0610,0.0,0.0,0.0,0.0,3.07,0.62,0.0
20180109:0710,0.0,0.0,0.0,0.0,3.24,1.24,0.0
20180109:0810,7.0,15.42,0.0,3.06,3.67,1.45,0.0
20180109:0910,3.0,59.0,0.0,10.05,4.39,1.59,0.0
20180109:1010,0.0,48.0,0.0,15.33,5.17,2.14,0.0
20180109:1110,0.0,48.0,0.0,18.48,6.06,2.97,0.0
20180109:1210,0.0,79.0,0.0,19.2,6.79,3.31,0.0
20180109:1310,3.0,109.0,0.0,17.4,7.7,3.79,0.0
20180109:1410,3.0,81.0,0.0,13.27,8.37,3.86,0.0
20180109:1510,37.0,44.0,0.0,7.19,8.44,2.97,0.0
20180109:1610,0.0,0.0,0.0,0.0,8.25,2.97,0.0
20180109:1710,0.0,0.0,0.0,0.0,7.66,3.17,0.0
20180109:1810,0.0,0.0,0.0,0.0,7.77,3.52,0.0
20180109:1910,0.0,0.0,0.0,0.0,7.85,3.79,0.0
20180109:2010,0.0,0.0,0.0,0.0,7.86,3.93,0.0
20180109:2110,0.0,0.0,0.0,0.0,7.69,4.28,0.0
20180109:2210,0.0,0.0,0.0,0.0,7.49,4.48,0.0
20180109:2310,0.0,0.0,0.0,0.0,7.17,4.21,0.0
20180110:0010,0.0,0.0,0.0,0.0,6.45,3.86,0.0
20180110:0110,0.0,0.0,0.0,0.0,5.74,3.72,0.0
20180110:0210,0.0,0.0,0.0,0.0,5.31,3.66,0.0
20180110:0310,0.0,0.0,0.0,0.0,5.03,3.66,0.0
20180110:0410,0.0,0.0,0.0,0.0,5.58,3.86,0.0
20180110:0510,0.0,0.0,0.0,0.0,6.09,3.86,0.0
20180110:0610,0.0,0.0,0.0,0.0,6.41,3.59,0.0
20180110:0710,0.0,0.0,0.0,0.0,6.63,2.76,0.0
20180110:0810,5.0,16.83,0.0,3.13,6.74,2.41,0.0
20180110:0910,5.0,65.0,0.0,10.14,7.0,2.62,0.0
20180110:1010,44.0,120.0,0.0,15.44,7.9,3.45,0.0
20180110:1110,59.0,148.0,0.0,18.61,8.19,3.03,0.0
20180110:1210,10.0,136.0,0.0,19.35,8.65,2.83,0.0
20180110:1310,15.0,130.0,0.0,17.56,8.99,2.48,0.0
20180110:1410,9.0,92.0,0.0,13.44,9.1,2.41,0.0
20180110:1510,19.0,50.0,0.0,7.36,9.04,2.14,0.0
20180110:1610,0.0,0.0,0.0,0.0,8.44,1.79,0.0
20180110:1710,0.0,0.0,0.0,0.0,7.7,1.66,0.0
20180110:1810,0.0,0.0,0.0,0.0,6.75,1.86,0.0
