Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160101:0010,0.0,0.0,0.0,0.0,6.29,3.17,0.0
20160101:0110,0.0,0.0,0.0,0.0,6.24,2.76,0.0
20160101:0210,0.0,0.0,0.0,0.0,5.95,2.48,0.0
20160101:0310,0.0,0.0,0.0,0.0,5.58,2.14,0.0
20160101:0410,0.0,0.0,0.0,0.0,5.09,2.07,0.0
20160101:0510,0.0,0.0,0.0,0.0,4.51,2.07,0.0
20160101:0610,0.0,0.0,0.0,0.0,4.43,1.93,0.0
20160101:0710,0.0,0.0,0.0,0.0,4.05,2.0,0.0
20160101:0810,1.0,12.81,0.0,2.75,4.18,2.14,0.0
20160101:0910,2.0,55.0,0.0,9.59,4.57,2.28,0.0
20160101:1010,6.0,98.0,0.0,14.71,5.77,3.03,0.0
20160101:1110,0.0,78.0,0.0,17.7,7.14,2.97,0.0
20160101:1210,9.0,129.0,0.0,18.27,8.29,3.17,0.0
20160101:1310,14.0,120.0,0.0,16.35,8.76,3.79,0.0
20160101:1410,4.0,77.0,0.0,12.14,8.53,3.93,0.0
20160101:1510,1.0,27.0,0.0,6.02,8.08,4.48,0.0
20160101:1610,0.0,0.0,0.0,0.0,7.48,4.83,0.0
20160101:1710,0.0,0.0,0.0,0.0,7.11,5.45,0.0
20160101:1810,0.0,0.0,0.0,0.0,6.98,5.45,0.0
20160101:1910,0.0,0.0,0.0,0.0,7.48,5.59,0.0
20160101:2010,0.0,0.0,0.0,0.0,7.37,5.17,0.0
20160101:2110,0.0,0.0,0.0,0.0,7.25,4.9,0.0
20160101:2210,0.0,0.0,0.0,0.0,7.1,4.62,0.0
20160101:2310,0.0,0.0,0.0,0.0,7.25,4.34,0.0
20160102:0010,0.0,0.0,0.0,0.0,7.64,4.34,0.0
20160102:0110,0.0,0.0,0.0,0.0,7.98,4.34,0.0
20160102:0210,0.0,0.0,0.0,0.0,8.38,4.41,0.0
