Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150101:0010,0.0,0.0,0.0,0.0,-0.18,0.41,0.0
20150101:0110,0.0,0.0,0.0,0.0,-0.51,0.41,0.0
20150101:0210,0.0,0.0,0.0,0.0,-0.77,0.34,0.0
20150101:0310,0.0,0.0,0.0,0.0,-1.05,0.69,0.0
20150101:0410,0.0,0.0,0.0,0.0,-3.24,1.45,0.0
20150101:0510,0.0,0.0,0.0,0.0,-3.3,1.86,0.0
20150101:0610,0.0,0.0,0.0,0.0,-2.99,1.86,0.0
20150101:0710,0.0,0.0,0.0,0.0,-2.97,1.1,0.0
20150101:0810,6.0,14.58,0.0,2.75,-2.91,1.79,0.0
20150101:0910,69.01,58.0,0.0,9.59,-2.34,1.86,0.0
20150101:1010,155.01,72.0,0.0,14.71,-1.55,2.07,0.0
20150101:1110,218.01,73.0,0.0,17.7,-0.75,2.0,0.0
20150101:1210,227.01,74.0,0.0,18.27,-0.14,2.21,0.0
20150101:1310,189.01,72.0,0.0,16.35,0.56,2.41,0.0
20150101:1410,60.0,87.0,0.0,12.14,1.06,2.34,0.0
20150101:1510,32.0,36.0,0.0,6.02,0.87,2.0,0.0
20150101:1610,0.0,0.0,0.0,0.0,-0.18,2.62,0.0
20150101:1710,0.0,0.0,0.0,0.0,-0.71,3.24,0.0
20150101:1810,0.0,0.0,0.0,0.0,-0.87,3.45,0.0
20150101:1910,0.0,0.0,0.0,0.0,0.11,3.52,0.0
20150101:2010,0.0,0.0,0.0,0.0,0.0,3.66,0.0
20150101:2110,0.0,0.0,0.0,0.0,-0.09,4.0,0.0
20150101:2210,0.0,0.0,0.0,0.0,-0.05,4.21,0.0
20150101:2310,0.0,0.0,0.0,0.0,0.15,4.41,0.0
20150102:0010,0.0,0.0,0.0,0.0,0.52,4.41,0.0
20150102:0110,0.0,0.0,0.0,0.0,0.86,4.55,0.0
20150102:0210,0.0,0.0,0.0,0.0,1.37,4.69,0.0
20150102:0310,0.0,0.0,0.0,0.0,1.72,4.9,0.0
20150102:0410,0.0,0.0,0.0,0.0,2.46,5.03,0.0
20150102:0510,0.0,0.0,0.0,0.0,3.34,5.1,0.0
20150102:0610,0.0,0.0,0.0,0.0,4.13,5.17,0.0
20150102:0710,0.0,0.0,0.0,0.0,4.78,5.03,0.0
20150102:0810,0.0,7.0,0.0,2.76,5.23,5.17,0.0
20150102:0910,0.0,16.0,0.0,9.62,5.78,5.17,0.0
20150102:1010,0.0,65.0,0.0,14.77,6.46,5.03,0.0
20150102:1110,7.0,121.0,0.0,17.77,7.27,4.76,0.0
20150102:1210,0.0,96.0,0.0,18.36,8.0,4.21,0.0
20150102:1310,18.0,123.0,0.0,16.45,8.63,3.66,0.0
20150102:1410,31.0,92.0,0.0,12.26,9.25,3.31,0.0
20150102:1510,9.0,39.0,0.0,6.14,9.14,2.97,0.0
20150102:1610,0.0,0.0,0.0,0.0,8.18,2.76,0.0
20150102:1710,0.0,0.0,0.0,0.0,7.19,2.62,0.0
20150102:1810,0.0,0.0,0.0,0.0,6.07,2.48,0.0
20150102:1910,0.0,0.0,0.0,0.0,4.27,2.34,0.0
20150102:2010,0.0,0.0,0.0,0.0,3.07,2.14,0.0
20150102:2110,0.0,0.0,0.0,0.0,2.11,1.93,0.0
20150102:2210,0.0,0.0,0.0,0.0,0.81,1.93,0.0
20150102:2310,0.0,0.0,0.0,0.0,-0.24,1.66,0.0
20150103:0010,0.0,0.0,0.0,0.0,-0.63,1.45,0.0
20150103:0110,0.0,0.0,0.0,0.0,-0.86,1.72,0.0
20150103:0210,0.0,0.0,0.0,0.0,-0.61,2.07,0.0
20150103:0310,0.0,0.0,0.0,0.0,0.19,2.28,0.0
20150103:0410,0.0,0.0,0.0,0.0,1.2,2.55,0.0
20150103:0510,0.0,0.0,0.0,0.0,2.12,3.03,0.0
20150103:0610,0.0,0.0,0.0,0.0,2.81,3.03,0.0
20150103:0710,0.0,0.0,0.0,0.0,3.25,3.24,0.0
20150103:0810,0.0,8.0,0.0,2.78,3.88,3.72,0.0
20150103:0910,0.0,41.0,0.0,9.66,5.01,4.76,0.0
20150103:1010,2.0,90.0,0.0,14.82,7.32,6.14,0.0
20150103:1110,4.0,116.0,0.0,17.85,9.78,7.52,0.0
20150103:1210,13.0,135.0,0.0,18.46,11.03,8.14,0.0
20150103:1310,0.0,41.0,0.0,16.57,11.38,8.21,0.0
20150103:1410,9.0,85.0,0.0,12.38,11.58,7.86,0.0
20150103:1510,46.01,32.0,0.0,6.27,11.63,7.38,0.0
20150103:1610,0.0,0.0,0.0,0.0,11.64,6.97,0.0
20150103:1710,0.0,0.0,0.0,0.0,11.75,6.76,0.0
20150103:1810,0.0,0.0,0.0,0.0,11.72,6.21,0.0
20150103:1910,0.0,0.0,0.0,0.0,11.15,6.48,0.0
20150103:2010,0.0,0.0,0.0,0.0,11.04,6.21,0.0
20150103:2110,0.0,0.0,0.0,0.0,10.97,5.45,0.0
20150103:2210,0.0,0.0,0.0,0.0,10.85,4.76,0.0
20150103:2310,0.0,0.0,0.0,0.0,10.46,3.86,0.0
20150104:0010,0.0,0.0,0.0,0.0,9.84,2.97,0.0
20150104:0110,0.0,0.0,0.0,0.0,8.5,3.17,0.0
20150104:0210,0.0,0.0,0.0,0.0,6.69,3.45,0.0
20150104:0310,0.0,0.0,0.0,0.0,5.06,3.03,0.0
20150104:0410,0.0,0.0,0.0,0.0,4.01,3.03,0.0
20150104:0510,0.0,0.0,0.0,0.0,3.21,3.03,0.0
20150104:0610,0.0,0.0,0.0,0.0,2.69,2.76,0.0
20150104:0710,0.0,0.0,0.0,0.0,2.51,2.21,0.0
20150104:0810,1.0,11.83,0.0,2.81,2.34,2.28,0.0
20150104:0910,8.0,66.0,0.0,9.71,2.42,2.14,0.0
20150104:1010,59.0,115.0,0.0,14.89,2.78,1.93,0.0
20150104:1110,99.01,134.0,0.0,17.94,3.23,1.79,0.0
20150104:1210,0.0,76.0,0.0,18.56,3.61,1.66,0.0
20150104:1310,0.0,70.0,0.0,16.69,4.03,1.59,0.0
20150104:1410,0.0,57.0,0.0,12.51,4.25,1.31,0.0
20150104:1510,11.0,43.0,0.0,6.41,4.33,1.45,0.0
20150104:1610,0.0,0.0,0.0,0.0,4.18,1.66,0.0
20150104:1710,0.0,0.0,0.0,0.0,3.95,1.66,0.0
20150104:1810,0.0,0.0,0.0,0.0,3.73,1.93,0.0
20150104:1910,0.0,0.0,0.0,0.0,3.04,2.0,0.0
20150104:2010,0.0,0.0,0.0,0.0,2.51,2.07,0.0
20150104:2110,0.0,0.0,0.0,0.0,2.21,2.07,0.0
20150104:2210,0.0,0.0,0.0,0.0,1.63,2.14,0.0
20150104:2310,0.0,0.0,0.0,0.0,1.11,2.07,0.0
20150105:0010,0.0,0.0,0.0,0.0,0.67,2.0,0.0
20150105:0110,0.0,0.0,0.0,0.0,0.12,2.0,0.0
20150105:0210,0.0,0.0,0.0,0.0,-0.51,2.0,0.0
20150105:0310,0.0,0.0,0.0,0.0,-0.98,2.0,0.0
20150105:0410,0.0,0.0,0.0,0.0,-1.49,1.93,0.0
20150105:0510,0.0,0.0,0.0,0.0,-1.96,1.86,0.0
20150105:0610,0.0,0.0,0.0,0.0,-2.38,1.72,0.0
20150105:0710,0.0,0.0,0.0,0.0,-2.23,1.66,0.0
20150105:0810,1.0,12.81,0.0,2.85,-2.28,1.66,0.0
20150105:0910,7.0,68.0,0.0,9.76,-0.96,1.38,0.0
20150105:1010,3.0,94.0,0.0,14.96,1.07,1.66,0.0
20150105:1110,0.0,96.0,0.0,18.03,2.32,1.52,0.0
20150105:1210,0.0,94.0,0.0,18.67,3.31,1.31,0.0
20150105:1310,3.0,107.0,0.0,16.82,4.07,1.17,0.0
20150105:1410,3.0,78.0,0.0,12.65,4.39,1.24,0.0
20150105:1510,4.0,40.0,0.0,6.56,4.12,1.31,0.0
20150105:1610,0.0,0.0,0.0,0.0,3.06,1.79,0.0
20150105:1710,0.0,0.0,0.0,0.0,1.61,2.14,0.0
20150105:1810,0.0,0.0,0.0,0.0,0.51,2.28,0.0
20150105:1910,0.0,0.0,0.0,0.0,0.21,1.66,0.0
20150105:2010,0.0,0.0,0.0,0.0,-0.24,1.66,0.0
20150105:2110,0.0,0.0,0.0,0.0,-0.87,1.79,0.0
20150105:2210,0.0,0.0,0.0,0.0,-1.7,1.93,0.0
20150105:2310,0.0,0.0,0.0,0.0,-2.39,1.93,0.0
20150106:0010,0.0,0.0,0.0,0.0,-2.94,1.86,0.0
20150106:0110,0.0,0.0,0.0,0.0,-3.32,1.72,0.0
20150106:0210,0.0,0.0,0.0,0.0,-3.62,1.59,0.0
20150106:0310,0.0,0.0,0.0,0.0,-3.51,1.45,0.0
20150106:0410,0.0,0.0,0.0,0.0,-3.6,1.45,0.0
20150106:0510,0.0,0.0,0.0,0.0,-3.71,1.59,0.0
20150106:0610,0.0,0.0,0.0,0.0,-3.64,1.79,0.0
20150106:0710,0.0,0.0,0.0,0.0,-3.36,2.21,0.0
20150106:0810,2.0,13.61,0.0,2.89,-2.81,2.55,0.0
20150106:0910,10.0,69.0,0.0,9.82,-1.52,2.41,0.0
20150106:1010,2.0,89.0,0.0,15.04,0.44,2.69,0.0
20150106:1110,3.0,115.0,0.0,18.13,2.37,2.83,0.0
20150106:1210,4.0,122.0,0.0,18.79,3.47,2.9,0.0
20150106:1310,0.0,53.0,0.0,16.95,3.97,2.83,0.0
20150106:1410,4.0,82.0,0.0,12.8,4.63,2.9,0.0
20150106:1510,1.0,31.0,0.0,6.7,5.09,3.1,0.0
20150106:1610,0.0,0.0,0.0,0.0,5.09,3.1,0.0
20150106:1710,0.0,0.0,0.0,0.0,4.98,3.17,0.0
20150106:1810,0.0,0.0,0.0,0.0,5.53,3.1,0.0
20150106:1910,0.0,0.0,0.0,0.0,4.42,2.76,0.0
20150106:2010,0.0,0.0,0.0,0.0,4.76,2.62,0.0
20150106:2110,0.0,0.0,0.0,0.0,5.12,2.41,0.0
20150106:2210,0.0,0.0,0.0,0.0,5.26,2.28,0.0
20150106:2310,0.0,0.0,0.0,0.0,5.11,2.21,0.0
20150107:0010,0.0,0.0,0.0,0.0,4.88,1.79,0.0
20150107:0110,0.0,0.0,0.0,0.0,4.18,1.79,0.0
20150107:0210,0.0,0.0,0.0,0.0,3.51,1.86,0.0
20150107:0310,0.0,0.0,0.0,0.0,2.9,1.66,0.0
20150107:0410,0.0,0.0,0.0,0.0,2.19,1.38,0.0
20150107:0510,0.0,0.0,0.0,0.0,1.56,1.1,0.0
20150107:0610,0.0,0.0,0.0,0.0,2.27,0.21,0.0
20150107:0710,0.0,0.0,0.0,0.0,0.34,0.21,0.0
20150107:0810,1.0,13.81,0.0,2.94,-0.52,0.34,0.0
20150107:0910,4.0,62.0,0.0,9.89,0.66,0.76,0.0
20150107:1010,6.0,102.0,0.0,15.13,1.79,1.03,0.0
20150107:1110,0.0,99.0,0.0,18.24,3.05,1.1,0.0
20150107:1210,1.0,103.0,0.0,18.92,4.11,1.17,0.0
20150107:1310,0.0,55.0,0.0,17.09,4.93,1.31,0.0
20150107:1410,0.0,21.0,0.0,12.95,5.41,1.52,0.0
20150107:1510,1.0,38.0,0.0,6.86,5.67,1.72,0.0
20150107:1610,0.0,0.0,0.0,0.0,5.61,1.72,0.0
20150107:1710,0.0,0.0,0.0,0.0,5.57,2.14,0.0
20150107:1810,0.0,0.0,0.0,0.0,5.62,2.69,0.0
20150107:1910,0.0,0.0,0.0,0.0,5.05,2.83,0.0
20150107:2010,0.0,0.0,0.0,0.0,5.2,3.24,0.0
20150107:2110,0.0,0.0,0.0,0.0,5.17,3.59,0.0
20150107:2210,0.0,0.0,0.0,0.0,5.2,3.86,0.0
20150107:2310,0.0,0.0,0.0,0.0,5.14,4.07,0.0
20150108:0010,0.0,0.0,0.0,0.0,5.35,4.14,0.0
20150108:0110,0.0,0.0,0.0,0.0,5.8,4.21,0.0
20150108:0210,0.0,0.0,0.0,0.0,6.4,4.41,0.0
20150108:0310,0.0,0.0,0.0,0.0,7.07,4.55,0.0
20150108:0410,0.0,0.0,0.0,0.0,7.68,4.76,0.0
20150108:0510,0.0,0.0,0.0,0.0,8.23,4.97,0.0
20150108:0610,0.0,0.0,0.0,0.0,8.64,5.17,0.0
20150108:0710,0.0,0.0,0.0,0.0,8.7,5.72,0.0
20150108:0810,0.0,10.0,0.0,3.0,8.87,6.07,0.0
20150108:0910,7.0,67.0,0.0,9.96,9.03,6.55,0.0
20150108:1010,0.0,73.0,0.0,15.23,9.26,7.1,0.0
20150108:1110,0.0,96.0,0.0,18.36,9.47,7.59,0.0
20150108:1210,0.0,72.0,0.0,19.06,9.48,7.79,0.0
20150108:1310,4.0,108.0,0.0,17.24,9.68,7.86,0.0
20150108:1410,5.0,84.0,0.0,13.1,10.0,8.14,0.0
20150108:1510,6.0,44.0,0.0,7.02,10.1,7.31,0.0
20150108:1610,0.0,0.0,0.0,0.0,9.32,5.66,0.0
20150108:1710,0.0,0.0,0.0,0.0,8.15,4.34,0.0
20150108:1810,0.0,0.0,0.0,0.0,7.28,3.79,0.0
20150108:1910,0.0,0.0,0.0,0.0,7.87,4.07,0.0
20150108:2010,0.0,0.0,0.0,0.0,7.18,3.79,0.0
20150108:2110,0.0,0.0,0.0,0.0,6.51,3.79,0.0
20150108:2210,0.0,0.0,0.0,0.0,6.11,3.79,0.0
20150108:2310,0.0,0.0,0.0,0.0,5.85,3.93,0.0
20150109:0010,0.0,0.0,0.0,0.0,6.03,4.48,0.0
20150109:0110,0.0,0.0,0.0,0.0,6.44,5.03,0.0
20150109:0210,0.0,0.0,0.0,0.0,6.44,5.38,0.0
20150109:0310,0.0,0.0,0.0,0.0,6.55,5.79,0.0
20150109:0410,0.0,0.0,0.0,0.0,6.78,6.34,0.0
20150109:0510,0.0,0.0,0.0,0.0,6.91,6.69,0.0
20150109:0610,0.0,0.0,0.0,0.0,7.09,6.83,0.0
20150109:0710,0.0,0.0,0.0,0.0,7.87,7.17,0.0
20150109:0810,1.0,13.81,0.0,3.06,8.58,7.17,0.0
20150109:0910,4.0,62.0,0.0,10.05,9.42,6.55,0.0
20150109:1010,4.0,98.0,0.0,15.33,10.19,6.14,0.0
20150109:1110,0.0,85.0,0.0,18.48,10.89,6.41,0.0
20150109:1210,0.0,62.0,0.0,19.2,11.46,6.28,0.0
20150109:1310,0.0,89.0,0.0,17.4,11.99,5.72,0.0
20150109:1410,70.0,91.0,0.0,13.27,12.15,5.66,0.0
20150109:1510,0.0,27.0,0.0,7.19,12.08,5.72,0.0
20150109:1610,0.0,0.0,0.0,0.0,11.79,5.79,0.0
20150109:1710,0.0,0.0,0.0,0.0,11.6,6.14,0.0
20150109:1810,0.0,0.0,0.0,0.0,11.82,6.34,0.0
20150109:1910,0.0,0.0,0.0,0.0,11.65,7.38,0.0
20150109:2010,0.0,0.0,0.0,0.0,11.88,7.86,0.0
20150109:2110,0.0,0.0,0.0,0.0,12.06,7.93,0.0
20150109:2210,0.0,0.0,0.0,0.0,12.16,7.72,0.0
20150109:2310,0.0,0.0,0.0,0.0,12.1,7.45,0.0
20150110:0010,0.0,0.0,0.0,0.0,12.0,7.17,0.0
20150110:0110,0.0,0.0,0.0,0.0,11.85,6.97,0.0
20150110:0210,0.0,0.0,0.0,0.0,11.73,6.76,0.0
