Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,0.0,8.21,2.0,0.0
20050101:0110,0.0,0.0,0.0,0.0,7.76,1.93,0.0
20050101:0210,0.0,0.0,0.0,0.0,7.15,1.93,0.0
20050101:0310,0.0,0.0,0.0,0.0,7.17,1.66,0.0
20050101:0410,0.0,0.0,0.0,0.0,6.67,1.66,0.0
20050101:0510,0.0,0.0,0.0,0.0,6.19,1.72,0.0
20050101:0610,0.0,0.0,0.0,0.0,6.02,1.66,0.0
20050101:0710,0.0,0.0,0.0,0.0,6.29,1.72,0.0
20050101:0810,0.0,0.0,0.0,0.0,6.76,1.59,0.0
20050101:0910,0.0,12.0,0.0,9.59,7.56,1.66,0.0
20050101:1010,0.0,53.0,0.0,14.71,8.36,2.21,0.0
20050101:1110,5.0,114.0,0.0,17.7,8.99,2.97,0.0
20050101:1210,9.0,130.0,0.0,18.27,9.53,3.86,0.0
20050101:1310,3.0,107.0,0.0,16.35,10.21,4.41,0.0
20050101:1410,22.0,104.0,0.0,12.14,10.33,3.93,0.0
20050101:1510,0.0,25.0,0.0,6.02,10.04,3.72,0.0
20050101:1610,0.0,0.0,0.0,0.0,9.67,4.21,0.0
20050101:1710,0.0,0.0,0.0,0.0,9.8,5.03,0.0
20050101:1810,0.0,0.0,0.0,0.0,10.24,5.66,0.0
20050101:1910,0.0,0.0,0.0,0.0,10.7,6.28,0.0
20050101:2010,0.0,0.0,0.0,0.0,10.39,6.55,0.0
20050101:2110,0.0,0.0,0.0,0.0,10.08,6.55,0.0
20050101:2210,0.0,0.0,0.0,0.0,9.9,6.41,0.0
20050101:2310,0.0,0.0,0.0,0.0,9.91,6.41,0.0
20050102:0010,0.0,0.0,0.0,0.0,9.95,6.28,0.0
20050102:0110,0.0,0.0,0.0,0.0,9.8,5.72,0.0
20050102:0210,0.0,0.0,0.0,0.0,9.24,4.76,0.0
20050102:0310,0.0,0.0,0.0,0.0,8.25,4.55,0.0
20050102:0410,0.0,0.0,0.0,0.0,7.39,4.41,0.0
20050102:0510,0.0,0.0,0.0,0.0,6.98,4.34,0.0
20050102:0610,0.0,0.0,0.0,0.0,6.55,4.14,0.0
20050102:0710,0.0,0.0,0.0,0.0,6.35,4.0,0.0
20050102:0810,0.0,0.0,0.0,0.0,5.97,3.86,0.0
20050102:0910,1.0,41.0,0.0,9.62,5.83,3.86,0.0
20050102:1010,137.01,64.0,0.0,14.77,6.34,3.52,0.0
20050102:1110,174.01,87.0,0.0,17.77,7.04,5.1,0.0
