Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20120101:0010,0.0,0.0,0.0,0.0,11.88,4.83,0.0
20120101:0110,0.0,0.0,0.0,0.0,11.79,4.76,0.0
20120101:0210,0.0,0.0,0.0,0.0,11.68,5.1,0.0
20120101:0310,0.0,0.0,0.0,0.0,11.44,5.03,0.0
20120101:0410,0.0,0.0,0.0,0.0,11.05,4.34,0.0
20120101:0510,0.0,0.0,0.0,0.0,10.87,4.21,0.0
20120101:0610,0.0,0.0,0.0,0.0,11.03,4.76,0.0
20120101:0710,0.0,0.0,0.0,0.0,11.5,5.45,0.0
20120101:0810,0.0,10.0,0.0,2.75,11.66,5.52,0.0
20120101:0910,9.0,66.0,0.0,9.59,11.79,5.45,0.0
20120101:1010,15.0,107.0,0.0,14.71,11.95,5.52,0.0
20120101:1110,0.0,54.0,0.0,17.7,12.05,5.72,0.0
20120101:1210,1.0,95.0,0.0,18.27,12.14,6.07,0.0
20120101:1310,15.0,119.0,0.0,16.35,12.21,6.21,0.0
20120101:1410,2.0,71.0,0.0,12.14,12.29,6.21,0.0
20120101:1510,3.0,34.0,0.0,6.02,12.39,6.48,0.0
20120101:1610,0.0,0.0,0.0,0.0,12.56,6.83,0.0
20120101:1710,0.0,0.0,0.0,0.0,12.6,7.1,0.0
20120101:1810,0.0,0.0,0.0,0.0,12.36,7.45,0.0
20120101:1910,0.0,0.0,0.0,0.0,11.89,7.66,0.0
20120101:2010,0.0,0.0,0.0,0.0,11.6,8.0,0.0
20120101:2110,0.0,0.0,0.0,0.0,11.44,8.28,0.0
20120101:2210,0.0,0.0,0.0,0.0,11.44,8.07,0.0
20120101:2310,0.0,0.0,0.0,0.0,11.18,7.59,0.0
20120102:0010,0.0,0.0,0.0,0.0,10.93,6.83,0.0
20120102:0110,0.0,0.0,0.0,0.0,10.64,5.86,0.0
20120102:0210,0.0,0.0,0.0,0.0,10.36,4.83,0.0
20120102:0310,0.0,0.0,0.0,0.0,10.08,4.48,0.0
20120102:0410,0.0,0.0,0.0,0.0,9.81,4.9,0.0
20120102:0510,0.0,0.0,0.0,0.0,9.67,5.31,0.0
20120102:0610,0.0,0.0,0.0,0.0,9.34,4.83,0.0
20120102:0710,0.0,0.0,0.0,0.0,8.27,4.41,0.0
20120102:0810,5.0,13.9,0.0,2.76,7.67,4.34,0.0
20120102:0910,24.0,70.0,0.0,9.62,7.58,4.34,0.0
20120102:1010,179.01,57.0,0.0,14.77,7.84,4.62,0.0
20120102:1110,136.01,114.0,0.0,17.77,8.18,4.97,0.0
20120102:1210,185.01,94.0,0.0,18.36,8.55,4.97,0.0
20120102:1310,194.01,68.0,0.0,16.45,8.76,5.17,0.0
20120102:1410,78.01,80.0,0.0,12.26,8.74,4.97,0.0
20120102:1510,11.0,40.0,0.0,6.14,8.06,4.9,0.0
20120102:1610,0.0,0.0,0.0,0.0,7.2,4.41,0.0
20120102:1710,0.0,0.0,0.0,0.0,6.37,4.0,0.0
20120102:1810,0.0,0.0,0.0,0.0,5.81,3.86,0.0
20120102:1910,0.0,0.0,0.0,0.0,4.8,3.31,0.0
20120102:2010,0.0,0.0,0.0,0.0,4.31,3.38,0.0
20120102:2110,0.0,0.0,0.0,0.0,3.97,3.79,0.0
20120102:2210,0.0,0.0,0.0,0.0,3.95,4.14,0.0
20120102:2310,0.0,0.0,0.0,0.0,3.88,4.55,0.0
20120103:0010,0.0,0.0,0.0,0.0,3.8,4.83,0.0
20120103:0110,0.0,0.0,0.0,0.0,4.16,4.9,0.0
20120103:0210,0.0,0.0,0.0,0.0,4.4,4.97,0.0
20120103:0310,0.0,0.0,0.0,0.0,4.59,5.45,0.0
