Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220101:0010,0.0,0.0,0.0,0.0,10.51,2.21,0.0
20220101:0110,0.0,0.0,0.0,0.0,10.3,2.07,0.0
20220101:0210,0.0,0.0,0.0,0.0,9.4,2.14,0.0
20220101:0310,0.0,0.0,0.0,0.0,8.73,2.28,0.0
20220101:0410,0.0,0.0,0.0,0.0,8.01,2.41,0.0
20220101:0510,0.0,0.0,0.0,0.0,7.43,2.48,0.0
20220101:0610,0.0,0.0,0.0,0.0,6.86,2.55,0.0
20220101:0710,0.0,0.0,0.0,0.0,7.62,2.76,0.0
20220101:0810,2.0,13.59,0.0,2.75,7.51,2.97,0.0
20220101:0910,89.01,46.0,0.0,9.59,8.29,2.9,0.0
20220101:1010,116.01,89.0,0.0,14.71,9.71,2.83,0.0
20220101:1110,170.01,94.0,0.0,17.7,11.42,3.1,0.0
20220101:1210,224.01,71.0,0.0,18.27,12.78,3.17,0.0
20220101:1310,201.01,62.0,0.0,16.35,13.64,2.97,0.0
20220101:1410,124.01,55.0,0.0,12.14,13.79,2.76,0.0
20220101:1510,43.01,30.0,0.0,6.02,13.09,2.62,0.0
20220101:1610,0.0,0.0,0.0,0.0,11.59,2.76,0.0
20220101:1710,0.0,0.0,0.0,0.0,10.39,2.62,0.0
20220101:1810,0.0,0.0,0.0,0.0,9.55,2.76,0.0
20220101:1910,0.0,0.0,0.0,0.0,9.54,2.97,0.0
20220101:2010,0.0,0.0,0.0,0.0,8.97,2.9,0.0
20220101:2110,0.0,0.0,0.0,0.0,8.46,2.9,0.0
20220101:2210,0.0,0.0,0.0,0.0,8.3,2.9,0.0
20220101:2310,0.0,0.0,0.0,0.0,8.39,2.97,0.0
20220102:0010,0.0,0.0,0.0,0.0,8.91,3.03,0.0
20220102:0110,0.0,0.0,0.0,0.0,9.25,3.17,0.0
20220102:0210,0.0,0.0,0.0,0.0,9.2,3.38,0.0
20220102:0310,0.0,0.0,0.0,0.0,9.37,3.66,0.0
20220102:0410,0.0,0.0,0.0,0.0,9.65,3.72,0.0
20220102:0510,0.0,0.0,0.0,0.0,10.02,4.0,0.0
20220102:0610,0.0,0.0,0.0,0.0,10.44,4.14,0.0
20220102:0710,0.0,0.0,0.0,0.0,11.85,4.07,0.0
20220102:0810,5.0,13.9,0.0,2.76,11.42,3.93,0.0
20220102:0910,69.01,55.0,0.0,9.62,11.47,4.41,0.0
20220102:1010,167.01,62.0,0.0,14.77,12.43,4.34,0.0
20220102:1110,6.0,120.0,0.0,17.77,13.29,5.17,0.0
20220102:1210,14.0,135.0,0.0,18.36,13.89,6.55,0.0
20220102:1310,17.0,123.0,0.0,16.45,13.93,5.86,0.0
20220102:1410,17.0,90.0,0.0,12.26,13.82,6.14,0.0
20220102:1510,14.0,40.0,0.0,6.14,13.44,6.28,0.0
20220102:1610,0.0,0.0,0.0,0.0,13.06,6.14,0.0
20220102:1710,0.0,0.0,0.0,0.0,12.92,6.55,0.0
20220102:1810,0.0,0.0,0.0,0.0,12.68,6.76,0.0
20220102:1910,0.0,0.0,0.0,0.0,12.5,6.69,0.0
20220102:2010,0.0,0.0,0.0,0.0,12.57,6.9,0.0
20220102:2110,0.0,0.0,0.0,0.0,12.12,6.07,0.0
20220102:2210,0.0,0.0,0.0,0.0,11.51,5.59,0.0
20220102:2310,0.0,0.0,0.0,0.0,11.09,5.31,0.0
20220103:0010,0.0,0.0,0.0,0.0,10.72,5.24,0.0
20220103:0110,0.0,0.0,0.0,0.0,10.43,5.24,0.0
20220103:0210,0.0,0.0,0.0,0.0,10.47,5.31,0.0
20220103:0310,0.0,0.0,0.0,0.0,10.56,5.24,0.0
20220103:0410,0.0,0.0,0.0,0.0,10.48,5.24,0.0
20220103:0510,0.0,0.0,0.0,0.0,10.34,5.03,0.0
20220103:0610,0.0,0.0,0.0,0.0,9.86,4.62,0.0
20220103:0710,0.0,0.0,0.0,0.0,10.38,4.69,0.0
20220103:0810,1.0,11.83,0.0,2.78,10.23,4.34,0.0
20220103:0910,5.0,61.0,0.0,9.66,10.23,4.55,0.0
20220103:1010,2.0,89.0,0.0,14.82,10.44,5.24,0.0
20220103:1110,5.0,115.0,0.0,17.85,10.73,6.0,0.0
20220103:1210,4.0,115.0,0.0,18.46,11.22,6.34,0.0
20220103:1310,0.0,58.0,0.0,16.57,11.53,6.34,0.0
