Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20060101:0010,0.0,0.0,0.0,0.0,3.32,4.41,0.0
20060101:0110,0.0,0.0,0.0,0.0,2.9,4.41,0.0
20060101:0210,0.0,0.0,0.0,0.0,2.63,4.41,0.0
20060101:0310,0.0,0.0,0.0,0.0,2.45,4.41,0.0
20060101:0410,0.0,0.0,0.0,0.0,2.12,4.41,0.0
20060101:0510,0.0,0.0,0.0,0.0,1.75,4.55,0.0
20060101:0610,0.0,0.0,0.0,0.0,1.94,4.69,0.0
20060101:0710,0.0,0.0,0.0,0.0,3.3,5.52,0.0
20060101:0810,6.0,12.76,0.0,2.75,4.01,4.9,0.0
20060101:0910,0.0,18.0,0.0,9.59,4.93,4.76,0.0
20060101:1010,0.0,20.0,0.0,14.71,5.89,4.9,0.0
20060101:1110,18.0,135.0,0.0,17.7,6.39,4.76,0.0
20060101:1210,185.01,94.0,0.0,18.27,6.81,4.76,0.0
20060101:1310,0.0,48.0,0.0,16.35,7.22,4.9,0.0
20060101:1410,20.0,90.0,0.0,12.14,7.1,5.45,0.0
20060101:1510,3.0,34.0,0.0,6.02,6.7,4.69,0.0
20060101:1610,0.0,0.0,0.0,0.0,6.01,4.14,0.0
20060101:1710,0.0,0.0,0.0,0.0,5.6,4.28,0.0
20060101:1810,0.0,0.0,0.0,0.0,5.44,4.34,0.0
20060101:1910,0.0,0.0,0.0,0.0,4.97,4.0,0.0
20060101:2010,0.0,0.0,0.0,0.0,4.97,3.93,0.0
20060101:2110,0.0,0.0,0.0,0.0,4.74,3.86,0.0
20060101:2210,0.0,0.0,0.0,0.0,4.76,3.86,0.0
20060101:2310,0.0,0.0,0.0,0.0,4.69,4.0,0.0
20060102:0010,0.0,0.0,0.0,0.0,4.45,4.07,0.0
20060102:0110,0.0,0.0,0.0,0.0,4.12,4.0,0.0
20060102:0210,0.0,0.0,0.0,0.0,3.87,4.07,0.0
20060102:0310,0.0,0.0,0.0,0.0,3.65,4.07,0.0
20060102:0410,0.0,0.0,0.0,0.0,3.62,4.07,0.0
20060102:0510,0.0,0.0,0.0,0.0,3.46,4.0,0.0
20060102:0610,0.0,0.0,0.0,0.0,3.4,3.86,0.0
20060102:0710,0.0,0.0,0.0,0.0,3.02,3.59,0.0
20060102:0810,1.0,13.79,0.0,2.76,2.56,3.31,0.0
20060102:0910,42.0,68.0,0.0,9.62,2.79,2.97,0.0
20060102:1010,167.01,65.0,0.0,14.77,3.66,3.31,0.0
20060102:1110,227.01,68.0,0.0,17.77,4.48,3.79,0.0
20060102:1210,240.01,67.0,0.0,18.36,4.99,3.72,0.0
20060102:1310,201.01,66.0,0.0,16.45,5.49,3.52,0.0
20060102:1410,96.01,73.0,0.0,12.26,5.75,3.31,0.0
20060102:1510,38.0,34.0,0.0,6.14,5.56,2.83,0.0
20060102:1610,0.0,0.0,0.0,0.0,4.87,2.28,0.0
20060102:1710,0.0,0.0,0.0,0.0,4.33,1.93,0.0
20060102:1810,0.0,0.0,0.0,0.0,4.02,1.72,0.0
20060102:1910,0.0,0.0,0.0,0.0,4.36,1.66,0.0
20060102:2010,0.0,0.0,0.0,0.0,3.93,1.59,0.0
20060102:2110,0.0,0.0,0.0,0.0,3.92,1.31,0.0
20060102:2210,0.0,0.0,0.0,0.0,3.38,1.17,0.0
