Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,0.0,7.06,1.59,0.0
20190101:0110,0.0,0.0,0.0,0.0,6.96,1.79,0.0
20190101:0210,0.0,0.0,0.0,0.0,6.77,2.0,0.0
20190101:0310,0.0,0.0,0.0,0.0,6.6,1.86,0.0
20190101:0410,0.0,0.0,0.0,0.0,6.35,1.59,0.0
20190101:0510,0.0,0.0,0.0,0.0,6.17,1.45,0.0
20190101:0610,0.0,0.0,0.0,0.0,6.01,1.66,0.0
20190101:0710,0.0,0.0,0.0,0.0,6.27,1.66,0.0
20190101:0810,0.0,5.0,0.0,2.75,6.42,1.72,0.0
20190101:0910,0.0,38.0,0.0,9.59,6.77,1.86,0.0
20190101:1010,0.0,48.0,0.0,14.71,7.47,2.07,0.0
20190101:1110,0.0,52.0,0.0,17.7,7.81,3.24,0.0
20190101:1210,0.0,49.0,0.0,18.27,7.84,3.31,0.0
20190101:1310,0.0,44.0,0.0,16.35,8.05,3.59,0.0
20190101:1410,0.0,48.0,0.0,12.14,8.14,3.17,0.0
20190101:1510,1.0,32.0,0.0,6.02,8.22,2.62,0.0
20190101:1610,0.0,0.0,0.0,0.0,7.77,2.34,0.0
20190101:1710,0.0,0.0,0.0,0.0,7.66,2.28,0.0
20190101:1810,0.0,0.0,0.0,0.0,7.72,2.41,0.0
20190101:1910,0.0,0.0,0.0,0.0,7.5,2.48,0.0
20190101:2010,0.0,0.0,0.0,0.0,7.49,2.62,0.0
20190101:2110,0.0,0.0,0.0,0.0,7.49,2.69,0.0
20190101:2210,0.0,0.0,0.0,0.0,7.65,3.03,0.0
20190101:2310,0.0,0.0,0.0,0.0,7.66,3.45,0.0
20190102:0010,0.0,0.0,0.0,0.0,7.41,3.72,0.0
20190102:0110,0.0,0.0,0.0,0.0,6.9,3.59,0.0
20190102:0210,0.0,0.0,0.0,0.0,6.3,3.52,0.0
20190102:0310,0.0,0.0,0.0,0.0,5.86,3.38,0.0
20190102:0410,0.0,0.0,0.0,0.0,5.64,3.31,0.0
