heure;puissance_w
00:00;6077.93
00:15;6066.44
00:30;6167.58
00:45;6171.34
01:00;6932.28
01:15;7131.82
01:30;7011.28
01:45;6155.51
02:00;6185.40
02:15;6395.72
02:30;5701.63
02:45;7572.57
03:00;5537.83
03:15;3840.83
03:30;4448.44
03:45;3992.74
04:00;3835.40
04:15;3794.76
04:30;4214.17
04:45;3773.89
05:00;3763.99
05:15;3755.11
05:30;3825.99
05:45;4008.59
06:00;6969.09
06:15;8584.97
06:30;8666.97
06:45;8175.87
07:00;7839.27
07:15;4645.02
07:30;828.68
07:45;626.31
08:00;513.94
08:15;416.09
08:30;392.27
08:45;454.60
09:00;409.31
09:15;348.84
09:30;294.13
09:45;294.22
10:00;337.93
10:15;339.97
10:30;339.75
10:45;338.83
11:00;339.70
11:15;307.52
11:30;295.92
11:45;634.06
12:00;347.55
12:15;340.43
12:30;341.48
12:45;340.90
13:00;692.60
13:15;292.22
13:30;295.88
13:45;360.46
14:00;359.24
14:15;648.09
14:30;331.30
14:45;293.62
15:00;300.80
15:15;485.78
15:30;501.99
15:45;687.32
16:00;295.59
16:15;353.60
16:30;388.68
16:45;413.09
17:00;1488.17
17:15;2671.62
17:30;2216.65
17:45;2051.41
18:00;1337.03
18:15;569.58
18:30;619.41
18:45;1597.44
19:00;1482.40
19:15;721.36
19:30;680.12
19:45;1162.73
20:00;1332.87
20:15;781.37
20:30;742.62
20:45;1198.29
21:00;954.57
21:15;568.03
21:30;532.88
21:45;456.13
22:00;449.88
22:15;472.33
22:30;633.68
22:45;676.44
23:00;561.74
23:15;401.58
23:30;2026.36
23:45;2565.73
