heure;puissance_w
00:00;6471.01
00:15;6500.25
00:30;6353.09
00:45;6269.12
01:00;5158.62
01:15;4128.40
01:30;4576.20
01:45;5692.31
02:00;5712.11
02:15;4391.22
02:30;5308.09
02:45;4434.88
03:00;4117.13
03:15;3943.85
03:30;3963.62
03:45;3940.57
04:00;3942.61
04:15;3959.12
04:30;3941.92
04:45;3940.49
05:00;3943.89
05:15;3917.47
05:30;3931.76
05:45;3916.63
06:00;3910.09
06:15;3911.94
06:30;3935.32
06:45;3938.12
07:00;4029.50
07:15;4352.32
07:30;704.51
07:45;559.70
08:00;385.42
08:15;383.25
08:30;479.68
08:45;558.42
09:00;579.32
09:15;504.88
09:30;522.56
09:45;621.70
10:00;607.71
10:15;614.50
10:30;610.87
10:45;547.23
11:00;550.75
11:15;593.71
11:30;612.73
11:45;611.72
12:00;589.41
12:15;597.42
12:30;615.09
12:45;739.34
13:00;532.73
13:15;449.09
13:30;487.70
13:45;612.18
14:00;623.37
14:15;610.37
14:30;506.78
14:45;506.98
15:00;634.10
15:15;606.56
15:30;623.95
15:45;564.43
16:00;520.50
16:15;567.11
16:30;528.29
16:45;567.88
17:00;767.04
17:15;686.54
17:30;745.18
17:45;973.63
18:00;1099.65
18:15;1089.72
18:30;1015.99
18:45;1025.16
19:00;1225.86
19:15;3158.98
19:30;1278.44
19:45;995.32
20:00;1007.95
20:15;1007.17
20:30;1149.74
20:45;1445.50
21:00;829.65
21:15;736.38
21:30;716.05
21:45;712.74
22:00;711.96
22:15;688.14
22:30;720.93
22:45;662.57
23:00;570.00
23:15;679.72
23:30;2647.37
23:45;2951.99
