heure;puissance_w
00:00;3851.41
00:15;3573.87
00:30;3140.38
00:45;3666.21
01:00;6652.91
01:15;4686.92
01:30;5775.89
01:45;1560.86
02:00;1289.18
02:15;619.18
02:30;2026.53
02:45;2495.21
03:00;5162.01
03:15;3627.04
03:30;3179.32
03:45;3033.13
04:00;578.06
04:15;1055.37
04:30;1767.67
04:45;3667.63
05:00;3452.11
05:15;3223.82
05:30;2521.60
05:45;1887.05
06:00;2476.12
06:15;3586.85
06:30;4674.63
06:45;4853.48
07:00;5062.57
07:15;3465.12
07:30;1604.58
07:45;1973.09
08:00;3501.49
08:15;5045.70
08:30;5143.24
08:45;3623.23
09:00;3670.24
09:15;3896.78
09:30;4185.29
09:45;1955.03
10:00;764.91
10:15;1644.92
10:30;2590.66
10:45;1787.71
11:00;1072.01
11:15;1131.20
11:30;1581.82
11:45;2950.38
12:00;1498.58
12:15;1377.28
12:30;2083.21
12:45;1642.30
13:00;2883.64
13:15;1329.87
13:30;1011.10
13:45;1808.25
14:00;2702.54
14:15;2989.31
14:30;3412.03
14:45;2116.39
15:00;1275.08
15:15;2606.04
15:30;1273.61
15:45;1818.95
16:00;2405.99
16:15;4060.72
16:30;2960.86
16:45;2180.03
17:00;2103.77
17:15;1360.21
17:30;2437.95
17:45;2026.98
18:00;3339.73
18:15;3394.91
18:30;1884.33
18:45;2860.41
19:00;3482.01
19:15;3385.05
19:30;2273.14
19:45;3881.65
20:00;2346.01
20:15;967.28
20:30;844.11
20:45;1358.88
21:00;938.42
21:15;607.53
21:30;622.46
21:45;641.32
22:00;1213.62
22:15;1970.66
22:30;1081.29
22:45;1287.10
23:00;436.34
23:15;961.74
23:30;2930.21
23:45;3046.86
