heure;puissance_w
00:00;3054.84
00:15;2037.70
00:30;3215.44
00:45;2739.69
01:00;2821.06
01:15;2777.21
01:30;3068.82
01:45;2711.98
02:00;2781.00
02:15;3165.69
02:30;2221.29
02:45;475.90
03:00;769.05
03:15;400.70
03:30;353.79
03:45;784.03
04:00;1248.06
04:15;2592.59
04:30;1728.62
04:45;592.87
05:00;910.78
05:15;529.26
05:30;345.33
05:45;559.83
06:00;3759.16
06:15;6236.86
06:30;7083.34
06:45;5169.98
07:00;3023.92
07:15;1335.59
07:30;987.77
07:45;954.81
08:00;1112.57
08:15;849.03
08:30;857.00
08:45;1257.81
09:00;911.53
09:15;778.99
09:30;513.36
09:45;428.31
10:00;425.14
10:15;411.67
10:30;386.84
10:45;381.73
11:00;447.99
11:15;669.56
11:30;321.47
11:45;326.78
12:00;366.97
12:15;908.32
12:30;340.68
12:45;337.95
13:00;328.33
13:15;658.96
13:30;548.77
13:45;346.25
14:00;1095.34
14:15;941.30
14:30;784.16
14:45;2667.75
15:00;1782.13
15:15;722.33
15:30;586.37
15:45;781.61
16:00;316.57
16:15;591.82
16:30;594.44
16:45;502.63
17:00;1175.54
17:15;487.21
17:30;3344.52
17:45;3614.56
18:00;3572.25
18:15;3065.93
18:30;3010.63
18:45;3439.40
19:00;2135.78
19:15;1240.98
19:30;832.43
19:45;1890.48
20:00;1853.24
20:15;1503.04
20:30;1335.12
20:45;861.02
21:00;1353.48
21:15;999.03
21:30;1136.52
21:45;924.87
22:00;754.52
22:15;1009.43
22:30;833.41
22:45;1367.32
23:00;1065.91
23:15;981.19
23:30;588.82
23:45;648.67
