heure;puissance_w
00:00;460.75
00:15;379.44
00:30;2583.00
00:45;2747.90
01:00;2673.69
01:15;3550.16
01:30;3318.79
01:45;2865.47
02:00;2362.33
02:15;966.80
02:30;428.00
02:45;415.13
03:00;806.26
03:15;317.11
03:30;1525.90
03:45;3413.59
04:00;1612.39
04:15;323.50
04:30;583.98
04:45;1302.85
05:00;790.62
05:15;416.10
05:30;1888.07
05:45;1069.99
06:00;2084.10
06:15;3075.95
06:30;3328.34
06:45;4686.27
07:00;3481.92
07:15;1844.43
07:30;814.31
07:45;746.29
08:00;783.09
08:15;662.22
08:30;872.14
08:45;848.75
09:00;624.49
09:15;595.90
09:30;645.89
09:45;2799.49
10:00;2125.92
10:15;876.40
10:30;648.57
10:45;751.48
11:00;1003.45
11:15;1305.36
11:30;732.11
11:45;441.40
12:00;861.10
12:15;418.52
12:30;481.93
12:45;1091.93
13:00;3467.71
13:15;2711.72
13:30;1119.99
13:45;650.83
14:00;545.82
14:15;1039.22
14:30;1365.64
14:45;659.32
15:00;544.96
15:15;883.10
15:30;1164.00
15:45;1503.10
16:00;1021.58
16:15;2725.77
16:30;3039.85
16:45;1019.00
17:00;1037.45
17:15;1192.83
17:30;3189.71
17:45;3971.96
18:00;2977.10
18:15;3237.96
18:30;3661.67
18:45;3738.36
19:00;3659.10
19:15;3162.39
19:30;3879.13
19:45;5992.95
20:00;4890.94
20:15;4984.10
20:30;6134.65
20:45;5880.84
21:00;5018.58
21:15;4494.93
21:30;4597.59
21:45;4723.86
22:00;4993.46
22:15;4383.97
22:30;4446.09
22:45;4217.78
23:00;4258.59
23:15;4452.27
23:30;4104.21
23:45;5034.61
