heure;puissance_w
00:00;2994.79
00:15;3003.36
00:30;2945.58
00:45;3075.07
01:00;4279.27
01:15;3503.38
01:30;1580.89
01:45;580.82
02:00;579.47
02:15;564.79
02:30;2032.42
02:45;462.01
03:00;379.24
03:15;366.75
03:30;437.01
03:45;412.52
04:00;429.27
04:15;433.74
04:30;384.53
04:45;310.44
05:00;308.03
05:15;380.91
05:30;352.63
05:45;374.39
06:00;366.01
06:15;350.66
06:30;390.38
06:45;453.75
07:00;1430.42
07:15;3002.83
07:30;998.71
07:45;500.79
08:00;489.73
08:15;579.05
08:30;508.33
08:45;426.30
09:00;378.63
09:15;366.13
09:30;342.96
09:45;365.18
10:00;348.68
10:15;360.43
10:30;355.86
10:45;489.21
11:00;450.22
11:15;481.31
11:30;518.58
11:45;497.22
12:00;465.92
12:15;401.39
12:30;2342.09
12:45;4681.18
13:00;4379.62
13:15;4160.04
13:30;4163.80
13:45;4051.35
14:00;4153.57
14:15;4197.91
14:30;4194.62
14:45;4080.68
15:00;4075.51
15:15;4169.52
15:30;4157.34
15:45;4140.81
16:00;4245.98
16:15;4146.34
16:30;4140.39
16:45;2602.75
17:00;627.70
17:15;823.00
17:30;913.92
17:45;929.72
18:00;908.73
18:15;855.90
18:30;1033.67
18:45;1082.42
19:00;1172.42
19:15;1407.03
19:30;1471.64
19:45;902.06
20:00;1030.71
20:15;1078.41
20:30;1062.88
20:45;1083.58
21:00;917.61
21:15;836.07
21:30;997.36
21:45;949.71
22:00;800.80
22:15;823.19
22:30;821.69
22:45;790.58
23:00;787.64
23:15;811.79
23:30;2806.97
23:45;2994.81
