heure;puissance_w
00:00;4560.43
00:15;4390.89
00:30;5821.25
00:45;6492.07
01:00;6299.31
01:15;7081.30
01:30;6263.03
01:45;6802.69
02:00;5598.66
02:15;3882.59
02:30;3643.00
02:45;3776.70
03:00;4228.45
03:15;4534.47
03:30;4001.98
03:45;4193.90
04:00;4394.52
04:15;3859.10
04:30;6187.34
04:45;7742.07
05:00;4600.48
05:15;1968.42
05:30;985.86
05:45;943.50
06:00;2461.15
06:15;2962.43
06:30;2933.33
06:45;2068.51
07:00;2206.05
07:15;1217.82
07:30;757.99
07:45;1919.80
08:00;3101.61
08:15;1301.96
08:30;700.60
08:45;778.06
09:00;792.81
09:15;778.78
09:30;798.80
09:45;590.32
10:00;1982.34
10:15;1192.74
10:30;1378.91
10:45;965.59
11:00;977.11
11:15;2178.70
11:30;3977.63
11:45;621.15
12:00;489.99
12:15;651.74
12:30;1704.50
12:45;1902.50
13:00;1082.16
13:15;2195.79
13:30;826.09
13:45;2012.71
14:00;847.29
14:15;2784.52
14:30;2934.75
14:45;921.36
15:00;992.83
15:15;1202.99
15:30;1133.45
15:45;1912.75
16:00;1311.27
16:15;1819.11
16:30;2622.50
16:45;2316.98
17:00;862.24
17:15;1193.56
17:30;3259.00
17:45;3714.13
18:00;3654.04
18:15;2788.38
18:30;2506.93
18:45;3608.77
19:00;2589.20
19:15;2521.69
19:30;581.45
19:45;1021.93
20:00;1318.41
20:15;1285.32
20:30;1230.87
20:45;382.11
21:00;353.03
21:15;380.02
21:30;859.77
21:45;378.08
22:00;601.39
22:15;1022.80
22:30;785.19
22:45;586.11
23:00;540.69
23:15;890.54
23:30;590.60
23:45;382.81
