heure;puissance_w
00:00;6723.90
00:15;6451.28
00:30;6644.60
00:45;4279.68
01:00;4782.99
01:15;5241.31
01:30;4930.98
01:45;4664.87
02:00;4132.99
02:15;4018.92
02:30;3973.57
02:45;4001.63
03:00;5173.59
03:15;4818.68
03:30;3985.28
03:45;3988.76
04:00;3999.70
04:15;4001.63
04:30;4348.79
04:45;4066.42
05:00;4028.72
05:15;4009.57
05:30;4107.40
05:45;4071.63
06:00;4084.82
06:15;4062.31
06:30;4369.87
06:45;4433.08
07:00;4406.99
07:15;4089.52
07:30;556.38
07:45;440.18
08:00;534.56
08:15;582.56
08:30;580.07
08:45;578.32
09:00;622.72
09:15;776.31
09:30;619.52
09:45;774.96
10:00;591.44
10:15;630.20
10:30;718.97
10:45;712.23
11:00;659.47
11:15;643.70
11:30;628.07
11:45;780.45
12:00;717.21
12:15;720.44
12:30;952.02
12:45;741.85
13:00;731.32
13:15;721.24
13:30;751.76
13:45;702.26
14:00;592.91
14:15;597.23
14:30;606.95
14:45;534.04
15:00;552.77
15:15;1138.49
15:30;700.71
15:45;657.95
16:00;586.45
16:15;514.44
16:30;506.83
16:45;965.13
17:00;1863.55
17:15;1458.13
17:30;1505.93
17:45;519.42
18:00;558.01
18:15;571.92
18:30;557.97
18:45;508.26
19:00;507.60
19:15;555.16
19:30;559.23
19:45;560.87
20:00;518.21
20:15;510.83
20:30;531.07
20:45;536.20
21:00;487.18
21:15;453.41
21:30;456.17
21:45;455.11
22:00;493.91
22:15;476.67
22:30;475.77
22:45;473.82
23:00;469.10
23:15;453.83
23:30;3325.09
23:45;6969.49
