heure;puissance_w
00:00;2837.60
00:15;2999.62
00:30;2921.84
00:45;3601.35
01:00;3611.41
01:15;3707.57
01:30;2886.99
01:45;2876.18
02:00;2845.36
02:15;2498.91
02:30;1468.77
02:45;312.30
03:00;368.09
03:15;364.92
03:30;366.99
03:45;358.94
04:00;356.35
04:15;318.78
04:30;328.23
04:45;354.44
05:00;377.56
05:15;373.52
05:30;379.45
05:45;404.98
06:00;2822.66
06:15;3537.60
06:30;2787.69
06:45;829.38
07:00;597.78
07:15;884.65
07:30;480.51
07:45;513.43
08:00;459.25
08:15;468.10
08:30;448.61
08:45;442.87
09:00;399.23
09:15;362.06
09:30;342.28
09:45;317.05
10:00;517.48
10:15;538.79
10:30;560.59
10:45;511.74
11:00;598.95
11:15;752.03
11:30;538.09
11:45;524.96
12:00;512.81
12:15;580.58
12:30;782.53
12:45;1174.84
13:00;903.30
13:15;905.82
13:30;961.92
13:45;807.50
14:00;826.95
14:15;1189.90
14:30;849.58
14:45;689.23
15:00;673.42
15:15;696.04
15:30;715.45
15:45;709.83
16:00;632.24
16:15;625.01
16:30;721.98
16:45;692.37
17:00;935.99
17:15;906.93
17:30;1345.88
17:45;2563.53
18:00;1766.95
18:15;1623.12
18:30;974.63
18:45;1176.74
19:00;984.03
19:15;1002.18
19:30;1162.65
19:45;946.83
20:00;986.38
20:15;957.37
20:30;1567.78
20:45;1027.42
21:00;1065.59
21:15;610.76
21:30;616.12
21:45;662.73
22:00;638.26
22:15;625.22
22:30;545.57
22:45;639.65
23:00;816.98
23:15;678.53
23:30;2319.48
23:45;2855.99
