heure;puissance_w
00:00;2991.73
00:15;2909.90
00:30;2844.21
00:45;2890.22
01:00;2667.31
01:15;498.29
01:30;458.31
01:45;361.71
02:00;324.18
02:15;296.17
02:30;321.12
02:45;369.68
03:00;362.69
03:15;360.63
03:30;365.20
03:45;326.00
04:00;295.80
04:15;294.37
04:30;367.50
04:45;1062.36
05:00;800.92
05:15;657.52
05:30;531.02
05:45;527.41
06:00;299.48
06:15;359.96
06:30;362.44
06:45;358.50
07:00;357.78
07:15;338.50
07:30;583.21
07:45;315.55
08:00;440.84
08:15;439.44
08:30;523.61
08:45;621.06
09:00;736.95
09:15;670.75
09:30;832.92
09:45;707.30
10:00;577.03
10:15;724.62
10:30;539.56
10:45;531.09
11:00;512.25
11:15;497.11
11:30;508.91
11:45;507.46
12:00;508.42
12:15;514.42
12:30;522.85
12:45;577.27
13:00;700.64
13:15;839.24
13:30;810.69
13:45;831.65
14:00;978.50
14:15;883.09
14:30;830.09
14:45;718.74
15:00;719.67
15:15;776.76
15:30;742.58
15:45;883.57
16:00;867.91
16:15;893.13
16:30;895.92
16:45;977.69
17:00;1101.88
17:15;900.77
17:30;859.11
17:45;1000.33
18:00;1060.19
18:15;1999.22
18:30;1806.26
18:45;1778.79
19:00;1637.07
19:15;1651.28
19:30;1915.20
19:45;838.66
20:00;978.39
20:15;1001.73
20:30;1228.88
20:45;889.04
21:00;826.04
21:15;818.71
21:30;719.49
21:45;716.09
22:00;626.86
22:15;604.40
22:30;719.21
22:45;712.70
23:00;664.49
23:15;562.43
23:30;2627.82
23:45;3151.62
