heure;puissance_w
00:00;2987.30
00:15;1847.42
00:30;461.37
00:45;465.50
01:00;1780.92
01:15;1135.24
01:30;780.19
01:45;604.32
02:00;593.06
02:15;691.41
02:30;2125.29
02:45;448.83
03:00;412.46
03:15;398.11
03:30;392.31
03:45;396.37
04:00;747.70
04:15;514.51
04:30;391.00
04:45;387.14
05:00;484.18
05:15;498.42
05:30;492.03
05:45;436.03
06:00;395.84
06:15;461.12
06:30;522.82
06:45;466.82
07:00;420.83
07:15;1756.99
07:30;957.54
07:45;534.40
08:00;495.43
08:15;478.00
08:30;446.25
08:45;565.82
09:00;512.23
09:15;586.30
09:30;569.47
09:45;703.14
10:00;763.01
10:15;669.60
10:30;602.92
10:45;802.95
11:00;1227.64
11:15;1610.59
11:30;2188.59
11:45;2264.47
12:00;1736.13
12:15;1767.58
12:30;1879.50
12:45;2119.02
13:00;1380.01
13:15;1562.79
13:30;1434.87
13:45;1451.62
14:00;1626.69
14:15;1469.51
14:30;1461.80
14:45;1389.27
15:00;1413.66
15:15;1442.17
15:30;1460.60
15:45;1455.62
16:00;1588.98
16:15;1603.65
16:30;1453.49
16:45;1297.41
17:00;1343.08
17:15;1404.71
17:30;1402.67
17:45;1468.82
18:00;1500.17
18:15;1315.11
18:30;1467.93
18:45;1486.27
19:00;1553.60
19:15;1932.55
19:30;2027.90
19:45;1413.30
20:00;1346.76
20:15;1439.17
20:30;1495.58
20:45;1392.77
21:00;1245.26
21:15;1475.03
21:30;997.81
21:45;840.02
22:00;800.58
22:15;1328.57
22:30;1278.08
22:45;1204.71
23:00;1015.46
23:15;1109.68
23:30;4424.57
23:45;6637.60
